week,channel,age_group,weekly_budget_total_inr,seasonality_base,seasonality_factor_channel,spend_inr,impressions,clicks,cpc_inr,ctr,conversion_rate,conversions,avg_order_value_inr,revenue_inr,cpm_inr,roi
1,Google Search Ads,18-34,209616.75,0.9719,0.9958,10541.48,7296,318,33.15,0.0436,0.0446,9,912.17,8209.56,1444.8,-0.2212
1,Google Search Ads,35-54,209616.75,0.9719,0.9958,14540.18,10265,459,31.62,0.0448,0.0656,22,964.35,21215.78,1416.48,0.4591
1,Google Search Ads,55+,209616.75,0.9719,0.9958,7243.24,5306,232,31.1,0.0439,0.0569,11,973.14,10704.58,1364.96,0.4779
1,Instagram Ads,18-34,209616.75,0.9719,0.9916,29883.29,33126,1719,17.38,0.0519,0.042,39,818.96,31939.42,902.09,0.0688
1,Instagram Ads,35-54,209616.75,0.9719,0.9916,9358.05,10491,567,16.5,0.0541,0.0285,9,844.77,7602.97,892.0,-0.1875
1,Instagram Ads,55+,209616.75,0.9719,0.9916,3335.34,3783,202,16.48,0.0535,0.025,2,1107.56,2215.12,881.48,-0.3359
1,Facebook Ads,18-34,209616.75,0.9719,0.993,9054.75,21492,622,14.54,0.029,0.0273,10,667.25,6672.46,421.3,-0.2631
1,Facebook Ads,35-54,209616.75,0.9719,0.993,20792.14,49496,1567,13.26,0.0317,0.0228,21,995.31,20901.42,420.07,0.0053
1,Facebook Ads,55+,209616.75,0.9719,0.993,14279.98,31821,949,15.04,0.0298,0.0163,13,859.1,11168.25,448.75,-0.2179
1,YouTube Ads,18-34,209616.75,0.9719,0.9916,12782.84,126304,1661,7.69,0.0132,0.0125,7,776.26,5433.84,101.21,-0.5749
1,YouTube Ads,35-54,209616.75,0.9719,0.9916,4928.91,61278,702,7.02,0.0115,0.0336,23,813.55,18711.6,80.44,2.7963
1,YouTube Ads,55+,209616.75,0.9719,0.9916,1849.84,22160,269,6.87,0.0122,0.0169,3,1060.72,3182.15,83.47,0.7202
1,Influencer Marketing,18-34,209616.75,0.9719,0.9902,26652.13,11022,649,41.06,0.0589,0.0826,35,1260.94,44132.95,2417.89,0.6559
1,Influencer Marketing,35-54,209616.75,0.9719,0.9902,8255.86,3318,202,40.85,0.0609,0.0578,5,1114.7,5573.49,2488.01,-0.3249
1,Influencer Marketing,55+,209616.75,0.9719,0.9902,2580.98,1072,64,39.72,0.0606,0.0352,3,1541.74,4625.22,2407.07,0.792
1,Email,18-34,209616.75,0.9719,0.9944,4705.84,7963,890,5.28,0.1118,0.049,27,706.84,19084.7,590.93,3.0555
1,Email,35-54,209616.75,0.9719,0.9944,7270.9,12607,1402,5.18,0.1113,0.0712,40,667.54,26701.45,576.73,2.6724
1,Email,55+,209616.75,0.9719,0.9944,6607.35,10519,1334,4.95,0.1268,0.0868,64,977.71,62573.26,628.08,8.4702
1,Display Ads,18-34,209616.75,0.9719,0.9916,7019.1,108054,789,8.89,0.0073,0.0076,5,733.99,3669.95,64.96,-0.4771
1,Display Ads,35-54,209616.75,0.9719,0.9916,5328.15,69519,518,10.28,0.0075,0.0048,4,856.33,3425.32,76.64,-0.3571
1,Display Ads,55+,209616.75,0.9719,0.9916,2606.43,37692,272,9.55,0.0072,0.0088,1,958.02,958.02,69.15,-0.6324
2,Google Search Ads,18-34,248867.45,0.9913,0.9987,22453.95,32667,887,25.3,0.0272,0.044,23,975.15,22428.56,687.35,-0.0011
2,Google Search Ads,35-54,248867.45,0.9913,0.9987,21119.85,35395,828,25.5,0.0234,0.0566,32,1186.15,37956.68,596.68,0.7972
2,Google Search Ads,55+,248867.45,0.9913,0.9987,14084.74,21253,542,25.97,0.0255,0.0491,17,1218.81,20719.69,662.71,0.4711
2,Instagram Ads,18-34,248867.45,0.9913,0.9974,30116.88,44888,1637,18.4,0.0365,0.0363,39,1020.27,39790.5,670.92,0.3212
2,Instagram Ads,35-54,248867.45,0.9913,0.9974,8422.06,14343,481,17.5,0.0336,0.0217,7,908.91,6362.38,587.17,-0.2446
2,Instagram Ads,55+,248867.45,0.9913,0.9974,3628.4,5174,209,17.3,0.0405,0.0219,5,884.15,4420.73,701.21,0.2184
2,Facebook Ads,18-34,248867.45,0.9913,0.9978,7689.18,16575,511,15.04,0.0309,0.0253,7,784.42,5490.92,463.89,-0.2859
2,Facebook Ads,35-54,248867.45,0.9913,0.9978,17140.41,38289,1086,15.77,0.0284,0.0149,9,915.19,8236.75,447.65,-0.5195
2,Facebook Ads,55+,248867.45,0.9913,0.9978,10601.75,20261,639,16.57,0.0316,0.0237,10,899.42,8994.17,523.25,-0.1516
2,YouTube Ads,18-34,248867.45,0.9913,0.9974,20705.4,204377,2198,9.42,0.0108,0.0188,25,758.9,18972.52,101.31,-0.0837
2,YouTube Ads,35-54,248867.45,0.9913,0.9974,9370.59,81191,921,10.17,0.0113,0.0284,16,981.91,15710.5,115.41,0.6766
2,YouTube Ads,55+,248867.45,0.9913,0.9974,3302.73,33490,377,8.75,0.0113,0.0223,5,1068.03,5340.13,98.62,0.6169
2,Influencer Marketing,18-34,248867.45,0.9913,0.997,16736.26,7404,392,42.66,0.053,0.076,20,978.07,19561.35,2260.28,0.1688
2,Influencer Marketing,35-54,248867.45,0.9913,0.997,4087.8,2142,105,38.69,0.0493,0.0642,6,1234.52,7407.09,1908.17,0.812
2,Influencer Marketing,55+,248867.45,0.9913,0.997,1857.65,943,47,39.33,0.05,0.057,1,1262.84,1262.84,1967.85,-0.3202
2,Email,18-34,248867.45,0.9913,0.9983,5436.05,11478,1051,5.17,0.0916,0.0365,20,894.33,17886.66,473.58,2.2904
2,Email,35-54,248867.45,0.9913,0.9983,10361.41,20556,1836,5.64,0.0893,0.0479,57,906.09,51647.0,504.05,3.9846
2,Email,55+,248867.45,0.9913,0.9983,9034.11,22286,1850,4.88,0.083,0.0296,36,991.89,35707.88,405.35,2.9526
2,Display Ads,18-34,248867.45,0.9913,0.9974,14200.08,140709,1585,8.96,0.0113,0.0076,10,718.4,7184.02,100.92,-0.4941
2,Display Ads,35-54,248867.45,0.9913,0.9974,11715.89,124753,1374,8.52,0.011,0.0095,6,909.4,5456.39,93.91,-0.5343
2,Display Ads,55+,248867.45,0.9913,0.9974,6802.26,73616,787,8.64,0.0107,0.0129,8,794.89,6359.12,92.4,-0.0651
3,Google Search Ads,18-34,120000.0,1.0477,1.0071,9741.87,9423,343,28.39,0.0364,0.0349,9,786.72,7080.44,1033.82,-0.2732
3,Google Search Ads,35-54,120000.0,1.0477,1.0071,7004.93,6737,239,29.3,0.0355,0.0544,13,963.9,12530.74,1039.71,0.7888
3,Google Search Ads,55+,120000.0,1.0477,1.0071,5725.9,5512,200,28.55,0.0364,0.0409,3,1111.61,3334.84,1038.65,-0.4176
